id,name,description,rarity,class,level
1013859,Healing Grace,"Shaman Healing Grace
Crossover Talent
Reduces the threat generated by your healing spells by 15% and reduces the chance your helpful spells and damage over time effects will be dispelled by 30%.

This Mystic Enchant does not stack with the Healing Grace Talent. Requires 30 Elemental or 30 Enhancement Shaman Talents ID 1013859",Rare,Shaman,45
1013734,Impale,"Warrior Impale
Crossover Talent
Increases the critical strike damage bonus of your abilities by 20%.

This Mystic Enchant does not stack with the Impale Talent. Requires 30 Fury or 30 Protection Warrior Talents ID 1013734",Rare,Warrior,45
201472,Barbed Shot,Hunter ID 201472,Legendary,Hunter,30
200112,Burning Rush,Warlock ID 200112,Artifact,Warlock,35
554013,Glyph of Healing Touch,"Druid Glyph of Healing Touch
Decreases the cast time of Healing Touch by 1.25 sec, the mana cost by 20%, and the amount healed by 50%. ID 554013",Rare,Druid,1
201605,Elemental Momentum,"Shaman Elemental Momentum
Requires  Elemental Focus
Killing an opponent that yields experience or honor triggers your Elemental Focus talent. In addition, your Lightning Bolt and Chain Lightning deals 10% more damage to targets below 35% health. ID 201605",Epic,Shaman,20
200127,Glyph of Earthen Guardian,"Shaman Glyph of Earthen Guardian
Increases the damage reduction of Earthen Guardian by 2%. ID 200127",Rare,Shaman,1
201576,Dark Harvest,"Warlock Dark Harvest
Dealing periodic damage with Corruption, Curse of Agony, Seed of Corruption or Unstable Affliction increases the damage of your next Drain Life by 5%, stacking up to 10 times.

Killing an opponent that yields experience or honor grants 3 stacks. ID 201576",Epic,Warlock,15
554176,Glyph of Hamstring,"Warrior Glyph of Hamstring
Gives your Hamstring ability a 10% chance to immobilize the target for 5 sec. ID 554176",Rare,Warrior,8
554040,Glyph of Lesser Healing Wave,"Shaman Glyph of Lesser Healing Wave
Your Lesser Healing Wave heals for 20% more if the target is also affected by Earth Shield. ID 554040",Rare,Shaman,20
1013936,Incite,"Warrior Incite
Crossover Talent
Increases the critical strike chance of your Heroic Strike, Thunder Clap and Cleave abilities by 15%.

This Mystic Enchant does not stack with the Incite Talent. Requires 30 Arms or 30 Fury Warrior Talents ID 1013936",Rare,Warrior,45
201570,Shadow Funnel,"Warlock Shadow Funnel
While channeling Health Funnel on your Voidwalker, its auto-attacks trigger a Void Nova, dealing Shadow damage to enemies within 5 yards. In addition, your Health Funnel does not cause any threat. ID 201570",Epic,Warlock,15
554081,Glyph of Corruption,"Warlock Glyph of Corruption
Your Corruption spell has a 4% chance to cause you to enter a Shadow Trance state after damaging the opponent. The Shadow Trance state reduces the casting time of your next Shadow Bolt spell by 100%. ID 554081",Rare,Warlock,4
1013974,Ruin,"Warlock Ruin
Crossover Talent
Increases the critical strike damage bonus of your Destruction spells and your Imp's Firebolt spell by 100%.

This Mystic Enchant does not stack with the Ruin Talent. Requires 30 Affliction or 30 Demonology Warlock Talents ID 1013974",Rare,Warlock,45
201451,Inner Flame,"Warlock Inner Flame
Dealing direct damage with Fire or Shadow spells has a 12% chance to cause your next direct damage Fire spell to be a guaranteed critical strike. ID 201451",Epic,Warlock,15
200090,Windwalk Totem,Shaman ID 200090,Artifact,Shaman,35
1013965,Torment the Weak,"Mage Torment the Weak
Crossover Talent
Your Frostbolt, Fireball, Frostfire Bolt, Pyroblast, Arcane Missiles, Arcane Blast, and Arcane Barrage abilities deal 12% more damage to snared or slowed targets.

This Mystic Enchant does not stack with the Torment the Weak Talent. Requires 30 Fire or 30 Frost Mage Talents ID 1013965",Rare,Mage,45
200996,Fel Damnation,Warlock ID 200996,Epic,Warlock,30
201569,Divine Reprieve,"Paladin Divine Reprieve
Your Divine Plea only reduces your healing done with Holy Light, Flash of Light and Holy Shock by 20% and additionally increases your chance to critically heal with those spells by 10%. Requires 20 Holy Paladin Talents ID 201569",Epic,Paladin,16
1013677,Lethality,"Rogue Lethality
Crossover Talent
Increases the critical strike damage bonus of all combo point-generating abilities that do not require stealth by 30%.

This Mystic Enchant does not stack with the Lethality Talent. Requires 30 Combat or 30 Subtlety Rogue Talents ID 1013677",Rare,Rogue,45
